3.35	Tsukahara gestrekt met 2 1⁄2 draai (900o) 5.60 P.		F/G
4.10	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt 3.00 P.		A
4.20	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehoekt 3.20 P.		A
4.11	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 1⁄2 draai (180o) 3.20 P.		B
4.12	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 1/1 draai (360o) 3.60 P.		C
4.13	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 1 1⁄2 draai (540o) 4.00 P.		D
4.14	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 2/1 draai (720o) 4.40 P.		E
4.30	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt 3.60 P.		A
4.40	Arabier flik-flak met 3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt 3.60 P.		A
4.50	Arabier flik-flak met 3⁄4 draai (270°) in de eerste vluchtfase en in de tweede vluchtfase salto achterover gehoekt 3.80 P.		A
4.31	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 1⁄2 draai (180o) 3.80 P.		B
4.41	Arabier flik-flak met  3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 1⁄2 draai (180o) 4.00 P.		B
4.51	Arabier flik-flak met 3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto a  c  h  t e  r o  v  e  rg  estrekt 4.20 P.		B
4.32	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 1/1 draai (360o) 4.20 P.		C
4.42	Arabier flik-flak met  3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto achterover gehurkt met 1/1 draai (360o) 4.20 P.		C
4.52	Arabier flik-flak met 3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto achterover g  e  s  t r e  k  t  me  t  1⁄2d  r aai (180o) 4.60 P.		C
4.33	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 1 1⁄2 draai (540o) 4.60 P.		D
4.53	Arabier flik-flak met 3⁄4 draai (270°) in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 1/1 draai (360o) 5.00 P.		D
4.34	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 2/1 draai (720o) 5.00 P.		E
4.35	Arabier flik-flak in de eerste vluchtfase - in de tweede vluchtfase salto achterover gestrekt met 2 1⁄2 draai (900o) 5.40 P.		F/G
5.10	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehurkt  3.80 P.		A
5.20	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehoekt  4.00 P.		A
5.11	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehurkt met 1⁄2 draai (180o) of in de tweede vluchtfase 1⁄2 draai (180o) en salto achterover gehurkt 4.00 P.		B
5.21	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehoekt met 1⁄2 draai (180o) of - in de tweede vluchtfase 1⁄2 draai (180o) en salto achterover gehoekt 4.20 P.		B
5.12	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase –  in de tweede vluchtfase salto voorover gehurkt met 1/1 draai (360o)  4.40 P.		C
5.22	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehoekt met 1/1 draai (360o)  4.60 P.		C
5.13	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gehurkt met 11⁄2 draai (540o)  4.80 P.		D
5.30	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gestrekt 4.60 P.		A
5.31	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gestrekt met 1⁄2 draai (180o) 4.80 P.		B
