3.408	Jaeger salto  gespreid tot strekhang aan de HL	0.4	3	D	acrobatic
3.508	Jaeger salto gespreid met ½ draai (180°) tot strekhang aan de HL	0.5	3	E	acrobatic
3.608	Jaeger salto gestrekt tot strekhang aan de HL	0.6	3	F	acrobatic
3.708	Achterzwaai in ellegreep met salto v.o. gehurkt over de HL to t strekhang aan de  HL in onder greep	0.7	3	G	acrobatic
3.309	Achterzwaai in ondergreep met vrij hoekwenden of spreidsprong en ½ draai (180°) over  de HL tot strekhang aan de HL	0.3	3	C	acrobatic
3.409	Achterzwaai in ondergreep met ½ draai (180°) en met gespreide benen vlucht achterwaarts over  de HL tot strekhang aan de HL	0.4	3	D	acrobatic
3.310	Reuzendraai v.o. in ellegreep (rugwaarts) met gehoekt of gestrekt lichaam (ellegreepreus) tot handstand, ook met ½ draai (180º) tot handstand	0.3	3	C	acrobatic
3.410	Reuzendraai v.o. in ellegreep met 1/1 draai (360º) tot handstand	0.4	3	D	acrobatic
3.510	Reuzendraai v.o. in ellegreep met begin van de 1/1 draai (360º) op één arm voor de handstandfase, voltooid in de handstandfase, of  Reuzendraai v.o. in ellegreep met 1 ½ draai (540º) tot handstand	0.5	3	E	acrobatic
4.101	Vrije spreiddraai v.o. aan de LL of de HL tot vrije steun	0.1	4	A	acrobatic
4.201	Kip aan HL, via vrije spreidsteun -  zwaaien /heffen tot handstand en  ½ draai (180º) in handstandfase	0.2	4	B	acrobatic
4.301	Stalder v.o. tot handstand,  ook met ½ draai (180°)	0.3	4	C	acrobatic
4.401	Stalder v.o. met 1/1 draai (360°) tot handstand	0.4	4	D	acrobatic
4.302	Vrije spreiddraai a.o. aan de HL met vlucht  tot zweefhang aan de LL	0.3	4	C	acrobatic
4.402	Vrije spreiddraai a.o. aan de HL met vlucht tot handstand op de LL	0.4	4	D	acrobatic
4.502	Stalder a.o. aan de HL met contraspreiden achterwaarts over de HL tot strekhang	0.5	4	E	acrobatic
4.602	Stalder a.o. aan de HL met contrahoeken achterwaarts over de HL tot strekhang   Stalder a.o. aan de HL met contraspreiden over de HL met ½ draai (180°)  tot gemende ellegreep  aan de HL  Brug – Groep 4 – 1 	0.6	4	F	acrobatic
4.103	Vrije spreiddraai v.o. in ellegreep tot vrije steun	0.1	4	A	acrobatic
4.403	Stalder v.o. in ellegreep tot handstand,  ook met ½ draai (180°) tot handstan d	0.4	4	D	acrobatic
4.503	Stalder v.o. in ellegreep met 1/1 draai (360º) tot handstand	0.5	4	E	acrobatic
4.104	Vrije spreiddraai a.o. aan de tot vrije steun	0.1	4	A	acrobatic
4.304	Stalder a.o. tot handstand, ook met gesprongen greepwissel in handstandfase of met ½ draai (180º) tot handstand	0.3	4	C	acrobatic
4.404	Stalder a.o. met 1/1 draai (360°) tot handstand	0.4	4	D	acrobatic
4.504	Stalder a.o. met 1 ½ draai (540°) tot handstand	0.5	4	E	acrobatic
4.205	Met gezicht naar binnen - stalder a.o. met vlucht en contrabeweging tot hang aan de HL	0.2	4	B	acrobatic
4.305	Met gezicht naar binnen - stalder a.o. met hecht tot strekhang aan de HL	0.3	4	C	acrobatic
4.405	Met gezicht naar buiten aan de LL -  stalder a.o. door handstand met vlucht tot strekhang aan de HL	0.4	4	D	acrobatic
4.505	Stalder a.o. door handstand met ½ draai in vlucht tot strekhang aan de HL	0.5	4	E	acrobatic
4.106	Ruglingse streksteun  - gehoekte zitdraai v.o. tot ruglingse streksteun	0.1	4	A	acrobatic
4.406	Vrije hoekdraai v.o. tot handstand, ook met ½ draai (1 80º) tot handstand	0.4	4	D	acrobatic
4.506	Vrije hoekdraai  v.o. met 1/1 draai (360º) tot handstand	0.5	4	E	acrobatic
4.107	Ruglingse streksteun - gehoekte zitdraai a.o. tot ruglingse streksteun	0.1	4	A	acrobatic
4.407	Vrije hoekdraai a.o. tot handstand, ook met ½ draai (180º)  tot handstand	0.4	4	D	acrobatic
4.507	Vrije hoekdraai a.o. met 1/1 draai (360º)  tot handstand	0.5	4	E	acrobatic
4.208	Vrije hoekdraai a.o. aan de LL met contrabeweging en vlucht tot strekhang aan de HL	0.2	4	B	acrobatic
4.308	Vrije hoekdraai a.o. aan de LL met hecht vlucht tot strekhang aan de HL	0.3	4	C	acrobatic
4.508	Vrije hoekdraai a.o. tot handstand met vlucht tot strekhang aan de HL, ook met  ½ draai (180°)    Vrije hoekdraai a.o. met gespreide contravlucht (open heupen voor de vlucht)  over de HL tot strekhang	0.5	4	E	acrobatic
4.608	Vrije hoekdraai a.o. met gehoekte contravlucht (open heupen voor de vlucht)  over de HL tot strekhang	0.6	4	F	acrobatic
5.101	Ruglingse streksteun op de lage ligger of hoge ligger - gehoekte zitdraai v.o. met uitspreiden tot hang aan dezelfde ligger	0.1	5	A	acrobatic
5.301	Streksteun ruglings op de HL aan de buitenzijde - draai a.o. tot vouwhangzwaai of gehoekte  zitdraai v.o. - uitspreiden met vluchtfase over de LL tot zweefhang    Idem streksteun ruglings op de LL aan de buitenzijde – gehoekte zitdraai v.o. met uitspreiden  en greepwissel tot strekhang aan de HL	0.3	5	C	acrobatic
5.501	Ruglingse streksteun op de HL - gehoekte zitdraai v.o. door vrije uitgestrekte steun (in ellegreep) in de handstandfase (Adler), ook met ½ draai (180°)	0.5	5	E	acrobatic
5.202	Ruglingse streksteun op de HL aan de binnenzijde - gehoekte zitdraai a.o. met  greepwissel tot zweef -hang aan de LL	0.2	5	B	acrobatic
5.302	Vrije ruglingse h oeksteun op de HL (benen gesloten) - volledige draai a.o. tot in vrije ruglingse steun op de HL (Steinemann -draai)	0.3	5	C	acrobatic
5.402	Vrije ruglingse hoeksteun op de HL (benen gesloten)  -volledige draai a.o. aan de HL - doorgaan door vrije ruglingse hoeksteun ao over de HL tot strekhang aan de HL   Vanuit handstand vrije hoekdraai a.o. tot In vrije ruglingse hoeksteun	0.4	5	D	acrobatic
